"Name","DNSHostName","OperatingSystem","OperatingSystemVersion","lastLogonDate"
"SRV-DC01","SRV-DC01.Homelab.local","Windows Server 2022 Standard Evaluation","10.0 (20348)","17/11/2025 6:11:36 PM"
"DS-01","DS-01.Homelab.local","Windows 10 Pro","10.0 (19045)","17/11/2025 6:12:52 PM"
